rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2021-2022;LYON;001;AIN;0010039M;COLLEGE DE L ALBARINE;01384;SAINT RAMBERT EN BUGEY;public;98.5
2021-2022;LYON;001;AIN;0010084L;COLLEGE PRIVE SAINT CHARLES;01093;CHATILLON SUR CHALARONNE;privé sous contrat;114.6
2021-2022;LYON;001;AIN;0010794H;COLLEGE DU VALROMEY;01022;ARTEMARE;public;95.6
2021-2022;LYON;001;AIN;0010796K;COLLEGE EMILE CIZAIN;01262;MONTLUEL;public;115.2
2021-2022;LYON;001;AIN;0010820L;COLLEGE GEORGE SAND;01306;PONT DE VEYLE;public;104.2
2021-2022;LYON;001;AIN;0010895T;COLLEGE;01266;MONTREVEL EN BRESSE;public;109.6
2021-2022;LYON;001;AIN;0010939R;COLLEGE LEON COMAS;01443;VILLARS LES DOMBES;public;110.7
2021-2022;LYON;001;AIN;0010987T;COLLEGE JEAN ROSTAND;01014;ARBENT;public;87.4
2021-2022;LYON;001;AIN;0011071J;COLLEGE LE GRAND CEDRE;01108;COLIGNY;public;93.4
2021-2022;LYON;001;AIN;0011257L;COLLEGE DE LA DOMBES;01333;SAINT ANDRE DE CORCY;public;129.6
2021-2022;LYON;001;AIN;0011301J;COLLEGE LE JORAN;01313;PREVESSIN MOËNS;public;114.1
2021-2022;LYON;001;AIN;0011338Z;COLLEGE JEAN COMPAGNON;01322;REYRIEUX;public;121.7
2021-2022;AMIENS;002;AISNE;0020004U;COLLEGE JOSQUIN DES PRES;02057;BEAUREVOIR;public;87.5
2021-2022;AMIENS;002;AISNE;0020018J;COLLEGE LEON DROUSSENT;02217;COUCY LE CHATEAU AUFFRIQUE;public;92.2
2021-2022;AMIENS;002;AISNE;0020037E;COLLEGE SUZANNE DEUTSCH DE LA MEURTHE;02532;MOY DE L AISNE;public;107.8
2021-2022;AMIENS;002;AISNE;0020044M;COLLEGE QUENTIN DE LA TOUR;02668;SAINS RICHAUMONT;public;84.1
2021-2022;AMIENS;002;AISNE;0020054Y;COLLEGE MONTAIGNE;02691;SAINT QUENTIN;public;61.3
2021-2022;AMIENS;002;AISNE;0020075W;COLLEGE GEORGES COBAST;02381;HIRSON;public;75.4
