rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931318C;ECOLE ELEMENTAIRE HONORE DE BALZAC;93073;TREMBLAY EN FRANCE;public;103.1
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931319D;ECOLE ELEMENTAIRE JEAN MOULIN;93073;TREMBLAY EN FRANCE;public;80.7
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931401T;ECOLE ELEMENTAIRE PAUL ELUARD;93008;BOBIGNY;public;82.0
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931409B;ECOLE ELEMENTAIRE ROMAIN ROLLAND;93031;EPINAY SUR SEINE;public;75.8
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931467P;ECOLE ELEMENTAIRE HENRI MONDOR;93064;ROSNY SOUS BOIS;public;90.6
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931469S;ECOLE ELEMENTAIRE LES PERRIERES;93005;AULNAY SOUS BOIS;public;79.4
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931473W;ECOLE ELEMENTAIRE FRANCOIS VILLON;93071;SEVRAN;public;72.8
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931503D;ECOLE ELEMENTAIRE MARIE CURIE;93008;BOBIGNY;public;82.0
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931508J;ECOLE ELEMENTAIRE JOLIOT CURIE 2;93048;MONTREUIL;public;87.9
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931510L;ECOLE ELEMENTAIRE CENTRE;93049;NEUILLY PLAISANCE;public;120.1
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931519W;ECOLE ELEMENTAIRE LA FONTAINE;93062;LE RAINCY;public;124.2
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931555K;ECOLE PRIMAIRE CHEVALIER DE SAINT GEORGES;93007;LE BLANC MESNIL;public;75.2
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931581N;ECOLE ELEMENTAIRE LACEPEDE 2;93031;EPINAY SUR SEINE;public;79.0
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931589X;ECOLE ELEMENTAIRE JULIUS ET ETHEL ROSENBERG;93073;TREMBLAY EN FRANCE;public;76.4
2021-2022;CRETEIL;093;SEINE-SAINT-DENIS;0931755C;ECOLE ELEMENTAIRE MOLIERE;93008;BOBIGNY;public;77.9
