code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87755223;Bandol;N;O;930000;1;050+607;BANDOL;VAR;3077;29a5a626-dfbc-11e3-a2ff-01a464e0362d;923833.7168999985;6230702.079;5.749815526229215;43.140491048348736;43.140491048348736,5.749815526229215;43.14049104738302,5.749815526229215;"{""coordinates"": [5.749815526229215, 43.14049104738302], ""type"": ""Point""}"
87696179;Pouilly-sur-Loire;O;O;750000;1;214+004;POUILLY-SUR-LOIRE;NIEVRE;6141;297a4c76-dfbc-11e3-a2ff-01a464e0362d;697358.253700003;6686913.2271;2.965051211539136;47.28252848274005;47.28252848274005,2.965051211539136;47.28252848176941,2.965051211539134;"{""coordinates"": [2.965051211539134, 47.28252848176941], ""type"": ""Point""}"
87718155;Arbois;N;O;880000;1;401+119;ARBOIS;JURA;2912;28faadb4-dfbc-11e3-a2ff-01a464e0362d;910253.9023000002;6649513.8189;5.763090017438219;46.91270132171763;46.91270132171763,5.763090017438219;46.91270132076251,5.763090017438219;"{""coordinates"": [5.763090017438219, 46.91270132076251], ""type"": ""Point""}"
87784488;Cases-de-Pène;O;N;676000;1;463+765;ESPIRA-DE-L'AGLY;PYRENEES-ORIENTALES;3499;d9c2a8a8-6667-11e3-89ff-01f464e0362d;683051.0830999985;6186628.236499999;2.793116620024166;42.77898338998102;42.77898338998102,2.793116620024166;42.77898338901533,2.7931166200241657;"{""coordinates"": [2.793116620024166, 42.77898338901533], ""type"": ""Point""}"
87481002;Nantes;O;O;519000;1;428+284;NANTES;LOIRE-ATLANTIQUE;5736;c01d1406-f312-11e3-90ff-015864e0362d;358259.4680000022;6690441.043499999;-1.518765979566461;47.226238868091336;47.226238868091336,-1.518765979566461;47.22623886712025,-1.5187659795664639;"{""coordinates"": [-1.518765979566464, 47.22623886712025], ""type"": ""Point""}"
87142125;Culmont-Chalindrey;O;O;843000;1;390+773;CHALINDREY;HAUTE-MARNE;3902;2953a9de-dfbc-11e3-a2ff-01a464e0362d;883044.6499999985;6748176.507300001;5.445906370699546;47.80846651260561;47.80846651260561,5.445906370699546;47.808466511639466,5.4459063706995465;"{""coordinates"": [5.445906370699547, 47.808466511639466], ""type"": ""Point""}"
87751743;La Penne-sur-Huveaune;N;O;930000;1;012+448;LA PENNE-SUR-HUVEAUNE;BOUCHES-DU-RHONE;4724;d9aade98-6667-11e3-89ff-01f464e0362d;904260.703900002;6246100.1173;5.515553840898035;43.284789141416624;43.284789141416624,5.515553840898035;43.28478914045096,5.5155538408980345;"{""coordinates"": [5.515553840898034, 43.28478914045096], ""type"": ""Point""}"
87732404;Gannat;O;O;790000;1;378+390;GANNAT;ALLIER;4260;d9717cca-6667-11e3-89ff-01f464e0362d;715826.9804000035;6555334.9021000005;3.204865220044901;46.097617863456954;46.097617863456954,3.204865220044901;46.097617862497984,3.2048652200449;"{""coordinates"": [3.2048652200449, 46.097617862497984], ""type"": ""Point""}"
87590331;Haluchère-Batignolles;N;O;519000;1;433+010;NANTES;LOIRE-ATLANTIQUE;152499;e048856a-19bf-11e5-82ff-01fc64e0362d;358119.6208000034;6692997.890999999;-1.522545375703279;47.24914745560844;47.24914745560844,-1.5225453757032792;47.24914745463753,-1.5225453757032819;"{""coordinates"": [-1.522545375703282, 47.24914745463753], ""type"": ""Point""}"
87396671;La Chartre-sur-le-Loir;O;N;500000;1;201+426;LA CHARTRE-SUR-LE-LOIR;SARTHE;4628;d99275ae-6667-11e3-89ff-01f464e0362d;518806.97339999676;6740576.353100002;0.58192907937748;47.740608360158774;47.740608360158774,0.5819290793774801;47.740608359192024,0.581929079377478;"{""coordinates"": [0.581929079377478, 47.740608359192024], ""type"": ""Point""}"
