STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,"54166",Dommartin-la-Chaussée,"4",MEURTHE-ET-MOSELLE,"54",GRAND EST,"44","200070738",DOMMARTIN-LA-CHAUSSEE,
Sous-préfecture,"54099",Val de Briey,"1",MEURTHE-ET-MOSELLE,"54",GRAND EST,"44","200070845",VAL DE BRIEY,"1187"
Commune simple,"55270",Lahayville,"2",MEUSE,"55",GRAND EST,"44","200034874",LAHAYVILLE,
Commune simple,"60196",La Drenne,"1",OISE,"60",HAUTS-DE-FRANCE,"32","246000582",LA DRENNE,"1867"
Commune simple,"72054",Champagné,"2",SARTHE,"72",PAYS DE LA LOIRE,"52","247200132",CHAMPAGNE,"1164"
Commune simple,"44005",Chaumes-en-Retz,"3",LOIRE-ATLANTIQUE,"44",PAYS DE LA LOIRE,"52","200067346",CHAUMES-EN-RETZ,"1652"
Commune simple,"49200",Longuenée-en-Anjou,"1",MAINE-ET-LOIRE,"49",PAYS DE LA LOIRE,"52","244900015",LONGUENEE-EN-ANJOU,"1681"
Commune simple,"61483",Bagnoles de l'Orne Normandie,"1",ORNE,"61",NORMANDIE,"28","200068443",BAGNOLES DE L'ORNE NORMANDIE,"1543"
Commune simple,"27198",Mesnils-sur-Iton,"2",EURE,"27",NORMANDIE,"28","200066462",MESNILS-SUR-ITON,"1210"
Commune simple,"27157",Marbois,"2",EURE,"27",NORMANDIE,"28","200066462",MARBOIS,"863"
Commune simple,"39017",Arlay,"2",JURA,"39",BOURGOGNE-FRANCHE-COMTE,"27","200069615",ARLAY,"942"
Commune simple,"27085",Flancourt-Crescy-en-Roumois,"2",EURE,"27",NORMANDIE,"28","200066405",FLANCOURT-CRESCY-EN-ROUMOIS,"1313"
Commune simple,"27349",Illeville-sur-Montfort,"2",EURE,"27",NORMANDIE,"28","200065787",ILLEVILLE-SUR-MONTFORT,"1483"
Commune simple,"01338",Groslée-Saint-Benoit,"1",AIN,"01",AUVERGNE-RHONE-ALPES,"84","200040350",GROSLEE-SAINT-BENOIT,"1252"
Commune simple,"79013",Argentonnay,"1",DEUX-SEVRES,"79",NOUVELLE-AQUITAINE,"75","200040244",ARGENTONNAY,"965"
Commune simple,"08115",Chémery-Chéhéry,"3",ARDENNES,"08",GRAND EST,"44","240800847",CHEMERY-CHEHERY,
Commune simple,"36202",Saint-Maur,"2",INDRE,"36",CENTRE-VAL DE LOIRE,"24","243600327",SAINT-MAUR,"1135"
Commune simple,"28183",Gommerville,"1",EURE-ET-LOIR,"28",CENTRE-VAL DE LOIRE,"24","200070159",GOMMERVILLE,"1596"
Commune simple,"72329",Savigné-l'Évêque,"3",SARTHE,"72",PAYS DE LA LOIRE,"52","200072684",SAVIGNE-L'EVEQUE,"1386"
Commune simple,"72026",Beaufay,"3",SARTHE,"72",PAYS DE LA LOIRE,"52","200072676",BEAUFAY,"1147"
Commune simple,"22203",Plœuc-L'Hermitage,"4",COTES-D'ARMOR,"22",BRETAGNE,"53","200069409",PLŒUC-L'HERMITAGE,"1118"
Commune simple,"50492",Saint-Jean-d'Elle,"4",MANCHE,"50",NORMANDIE,"28","200066389",SAINT-JEAN-D'ELLE,"917"
Commune simple,"46103",Saint-Paul-Flaugnac,"1",LOT,"46",OCCITANIE,"76","200039519",SAINT-PAUL-FLAUGNAC,"1453"
Commune simple,"39021",La Chailleuse,"2",JURA,"39",BOURGOGNE-FRANCHE-COMTE,"27","243901071",LA CHAILLEUSE,"1038"
Commune simple,"72101",Courcemont,"3",SARTHE,"72",PAYS DE LA LOIRE,"52","200072676",COURCEMONT,"1160"
Commune simple,"59185",Écaillon,"3",NORD,"59",HAUTS-DE-FRANCE,"32","245901152",ECAILLON,"1406"
Commune simple,"46138",Cœur de Causse,"3",LOT,"46",OCCITANIE,"76","244600573",CŒUR DE CAUSSE,"1221"
