service;adresse_geographique;telephone;departement;code_commune_insee;voie;code_postal;commune;geocodage_epsg;geocodage_x;geocodage_y;geocodage_x_GPS;geocodage_y_GPS
"Commissariat de police d'Oyonnax";"41 Boulevard Louis Dupuy$01100 OYONNAX";"+33 4 74 77 47 33";"01";"01283";"41 Boulevard Louis Dupuy";"01100";"OYONNAX";"";"";"";"5.65029996";"46.25760162"
"Commissariat de police de Bourg en Bresse";"4 Rue des Remparts$01000 BOURG EN BRESSE";"+33 4 74 47 20 20";"01";"01053";"4 Rue des Remparts";"01000";"BOURG EN BRESSE";"";"";"";"5.22517643";"46.20676468"
"Commissariat de police de Château Thierry";"Avenue de la Mare aux Canes$02400 CHATEAU THIERRY";"+33 3 23 84 26 26";"02";"02168";"Avenue de la Mare aux Canes";"02400";"CHATEAU THIERRY";"";"";"";"3.38927094";"49.04801921"
"Commissariat de police de Laon";"2 Boulevard Gras Brancourt$02000 LAON";"+33 3 23 27 79 79";"02";"02408";"2 Boulevard Gras Brancourt";"02000";"LAON";"";"";"";"3.62633491";"49.56982361"
"Commissariat de police de Saint Quentin";"7 Avenue du Général de Gaulle$02100 ST QUENTIN";"+33 3 23 06 20 20";"02";"02691";"7 Avenue du Général de Gaulle";"02100";"ST QUENTIN";"";"";"";"3.29671879";"49.84262881"
"Commissariat de police de Soissons";"19 Rue Paul Deviolaine$02200 SOISSONS";"+33 3 23 76 72 00";"02";"02722";"19 Rue Paul Deviolaine";"02200";"SOISSONS";"";"";"";"3.32305622";"49.38573841"
"Commissariat de police de Tergnier";"19 Rue Victor Hugo$02700 TERGNIER";"+33 3 23 37 22 00";"02";"02738";"19 Rue Victor Hugo";"02700";"TERGNIER";"";"";"";"3.29299764";"49.65555538"
"Commissariat de police de Montluçon";"41 Rue Joseph Chantemille$03100 MONTLUCON";"+33 4 70 02 52 70";"03";"03185";"41 Rue Joseph Chantemille";"03100";"MONTLUCON";"";"";"";"2.59599273";"46.34081015"
"Commissariat de police de Moulins";"2 Cours Vincent d'Indy$03000 MOULINS";"+33 4 70 43 16 16";"03";"03190";"2 Cours Vincent d'Indy";"03000";"MOULINS";"";"";"";"3.32743809";"46.56800268"
"Commissariat de police de Vichy";"35 Avenue Victoria$03200 VICHY";"+33 4 70 96 11 11";"03";"03310";"35 Avenue Victoria";"03200";"VICHY";"";"";"";"3.42401274";"46.12779466"
"Commissariat de police de Digne-les-bains";"2 Rue des Monges$04000 DIGNE LES BAINS";"+33 4 92 30 86 60";"04";"04070";"2 Rue des Monges";"04000";"DIGNE LES BAINS";"";"";"";"6.23499689";"44.09321411"
"Commissariat de police de Manosque";"10 Allée de Provence$04100 MANOSQUE";"+33 4 92 70 17 00";"04";"04112";"10 Allée de Provence";"04100";"MANOSQUE";"";"";"";"5.78616988";"43.83295915"
"Commissariat de police de Briançon";"19 Avenue de la République$05100 BRIANCON";"+33 4 92 25 54 54";"05";"05023";"19 Avenue de la République";"05100";"BRIANCON";"";"";"";"6.63800505";"44.89787608"
"Commissariat de police de Gap";"Place Alsace Lorraine$05000 GAP";"+33 4 92 52 50 99";"05";"05061";"Place Alsace Lorraine";"05000";"GAP";"";"";"";"6.08096577";"44.560405"
"Commissariat de police d'Antibes";"5 Rue des Frères Olivier$06600 ANTIBES";"+33 4 92 90 78 00";"06";"06004";"5 Rue des Frères Olivier";"06600";"ANTIBES";"";"";"";"7.11988475";"43.57987588"
"Commissariat de police de Beausoleil";"25 Boulevard de la République$06240 BEAUSOLEIL";"+33 4 92 09 44 30";"06";"06012";"25 Boulevard de la République";"06240";"BEAUSOLEIL";"";"";"";"7.42510061";"43.74291348"
"Commissariat de police de Cagnes-sur-Mer";"20 bis Chemin des Grands Plans$06800 CAGNES SUR MER";"+33 4 92 13 56 10";"06";"06027";"20 bis Chemin des Grands Plans";"06800";"CAGNES SUR MER";"";"";"";"7.15040689";"43.65602164"
"Commissariat de police de Cannes";"1 Avenue de Grasse$06400 CANNES";"+33 4 93 06 22 22";"06";"06029";"1 Avenue de Grasse";"06400";"CANNES";"";"";"";"7.01669032";"43.55402931"
"Commissariat de police de Cannes la Bocca";"1 Avenue Michel Jourdan$06400 CANNES";"+33 4 92 19 25 85";"06";"06029";"1 Avenue Michel Jourdan";"06400";"CANNES";"";"";"";"6.97951402";"43.5495393"
"Commissariat de police de Grasse";"1 Avenue du Maréchal de Lattre de Tassigny$06130 GRASSE";"+33 4 93 40 91 91";"06";"06069";"1 Avenue du Maréchal de Lattre de Tassigny";"06130";"GRASSE";"";"";"";"6.92263861";"43.65051036"
"Commissariat de police de Le Cannet";"66 Boulevard Sadi Carnot$06110 LE CANNET";"+33 4 93 45 44 10";"06";"06030";"66 Boulevard Sadi Carnot";"06110";"LE CANNET";"";"";"";"7.01611259";"43.57309944"
"Commissariat de police de Menton";"9 Rue Partouneaux$06500 MENTON";"+33 4 93 28 66 00";"06";"06083";"9 Rue Partouneaux";"06500";"MENTON";"";"";"";"7.4983561";"43.7749352"
