id;date;code_insee_region;region;tmin;tmax;tmoy
2018-01-01T00:00:00-11;2018-01-01;11;Île-de-France;5.96;9.28;7.62
2018-01-01T00:00:00-28;2018-01-01;28;Normandie;5.0;8.98;6.99
2018-01-01T00:00:00-24;2018-01-01;24;Centre-Val de Loire;5.25;9.68;7.47
2018-01-02T00:00:00-11;2018-01-02;11;Île-de-France;5.32;13.6;9.46
2018-01-02T00:00:00-84;2018-01-02;84;Auvergne-Rhône-Alpes;3.02;11.56;7.29
2018-01-02T00:00:00-76;2018-01-02;76;Occitanie;6.49;14.9;10.7
2018-01-02T00:00:00-44;2018-01-02;44;Grand Est;4.8;12.66;8.73
2018-01-04T00:00:00-94;2018-01-04;94;Corse;12.7;19.15;15.92
2018-01-05T00:00:00-52;2018-01-05;52;Pays de la Loire;7.35;11.55;9.45
2018-01-07T00:00:00-53;2018-01-07;53;Bretagne;3.55;7.25;5.4
2018-01-08T00:00:00-24;2018-01-08;24;Centre-Val de Loire;5.13;9.27;7.2
2018-01-09T00:00:00-28;2018-01-09;28;Normandie;3.02;8.36;5.69
2018-01-10T00:00:00-44;2018-01-10;44;Grand Est;3.84;7.5;5.67
2018-01-10T00:00:00-53;2018-01-10;53;Bretagne;4.15;11.4;7.78
2018-01-11T00:00:00-28;2018-01-11;28;Normandie;2.66;6.92;4.79
2018-01-11T00:00:00-76;2018-01-11;76;Occitanie;4.25;9.08;6.66
2018-01-12T00:00:00-93;2018-01-12;93;Provence-Alpes-Côte d'Azur;3.68;12.27;7.98
2018-01-13T00:00:00-75;2018-01-13;75;Nouvelle-Aquitaine;1.75;8.16;4.96
2018-01-13T00:00:00-84;2018-01-13;84;Auvergne-Rhône-Alpes;-0.7;9.23;4.26
2018-01-14T00:00:00-11;2018-01-14;11;Île-de-France;0.24;8.42;4.33
2018-01-15T00:00:00-44;2018-01-15;44;Grand Est;-0.52;8.61;4.04
2018-01-15T00:00:00-11;2018-01-15;11;Île-de-France;2.92;9.88;6.4
2018-01-17T00:00:00-11;2018-01-17;11;Île-de-France;2.92;8.88;5.9
2018-01-18T00:00:00-76;2018-01-18;76;Occitanie;3.36;12.53;7.95
2018-01-19T00:00:00-52;2018-01-19;52;Pays de la Loire;3.4;10.4;6.9
2018-01-19T00:00:00-11;2018-01-19;11;Île-de-France;3.38;7.26;5.32
2018-01-20T00:00:00-11;2018-01-20;11;Île-de-France;3.08;11.3;7.19
2018-01-20T00:00:00-52;2018-01-20;52;Pays de la Loire;4.2;13.15;8.68
2018-01-20T00:00:00-76;2018-01-20;76;Occitanie;4.89;13.01;8.95
2018-01-22T00:00:00-75;2018-01-22;75;Nouvelle-Aquitaine;10.67;13.46;12.07
2018-01-23T00:00:00-75;2018-01-23;75;Nouvelle-Aquitaine;7.39;13.25;10.32
2018-01-24T00:00:00-52;2018-01-24;52;Pays de la Loire;11.8;13.9;12.85
2018-01-24T00:00:00-28;2018-01-24;28;Normandie;10.08;13.02;11.55
2018-01-25T00:00:00-53;2018-01-25;53;Bretagne;5.55;10.82;8.19
2018-01-25T00:00:00-52;2018-01-25;52;Pays de la Loire;7.2;9.45;8.32
2018-01-26T00:00:00-94;2018-01-26;94;Corse;6.25;17.35;11.8
2018-01-26T00:00:00-53;2018-01-26;53;Bretagne;3.72;9.95;6.84
2018-01-26T00:00:00-76;2018-01-26;76;Occitanie;4.9;8.18;6.54
2018-01-27T00:00:00-27;2018-01-27;27;Bourgogne-Franche-Comté;2.78;7.02;4.9
2018-01-27T00:00:00-84;2018-01-27;84;Auvergne-Rhône-Alpes;2.33;7.5;4.91
2018-01-27T00:00:00-76;2018-01-27;76;Occitanie;3.6;8.61;6.1
2018-01-28T00:00:00-84;2018-01-28;84;Auvergne-Rhône-Alpes;1.36;9.65;5.51
2018-01-28T00:00:00-53;2018-01-28;53;Bretagne;9.35;12.1;10.72
2018-01-28T00:00:00-27;2018-01-28;27;Bourgogne-Franche-Comté;2.52;8.73;5.62
2018-01-29T00:00:00-75;2018-01-29;75;Nouvelle-Aquitaine;4.17;9.81;6.99
2018-01-29T00:00:00-84;2018-01-29;84;Auvergne-Rhône-Alpes;2.91;8.69;5.8
2018-01-29T00:00:00-53;2018-01-29;53;Bretagne;9.25;11.8;10.52
2018-01-30T00:00:00-24;2018-01-30;24;Centre-Val de Loire;7.8;10.95;9.38
2018-01-30T00:00:00-75;2018-01-30;75;Nouvelle-Aquitaine;6.15;9.9;8.02
2018-01-30T00:00:00-94;2018-01-30;94;Corse;7.1;15.75;11.42
2018-01-30T00:00:00-52;2018-01-30;52;Pays de la Loire;7.7;10.85;9.28
