"insee_com","lib_com","id_acv","lib_acv","date_signature"
"01004","Ambérieu-en-Bugey","acv-008","Ambérieu-en-Bugey",2019-09-24
"01053","Bourg-en-Bresse","acv-035","Bourg-en-Bresse",2018-09-30
"01283","Oyonnax","acv-152","Oyonnax",2018-09-28
"02168","Château-Thierry","acv-055","Château-Thierry",2018-09-28
"02408","Laon","acv-107","Laon",2018-09-28
"02691","Saint-Quentin","acv-186","Saint-Quentin",2018-06-29
"02722","Soissons","acv-197","Soissons",2018-09-21
"03185","Montluçon","acv-144","Montluçon",2018-10-29
"03190","Moulins","acv-146","Moulins",2018-10-29
"03310","Vichy","acv-214","Vichy",2018-10-10
"04070","Digne-les-Bains","acv-074","Digne-les-Bains",2018-09-28
"04112","Manosque","acv-129","Manosque",2018-09-28
"05023","Briançon","acv-039","Briançon",2018-09-21
"05061","Gap","acv-095","Gap",2018-09-21
"06069","Grasse","acv-098","Grasse",2018-09-14
"06155","Vallauris","acv-209","Vallauris",2018-10-18
"07010","Annonay","acv-010","Annonay",2018-09-26
"07019","Aubenas","acv-015","Aubenas",2018-09-28
"07186","Privas","acv-161","Privas",2018-09-27
"08105","Charleville-Mézières","acv-053","Charleville-Mézières",2018-07-27
"08409","Sedan","acv-193","Sedan",2018-07-27
"09122","Foix","acv-089","Foix",2018-09-28
"09225","Pamiers","acv-153","Pamiers",2018-09-28
"10387","Troyes","acv-205","Troyes",2018-06-27
"11069","Carcassonne","acv-045","Carcassonne",2018-09-28
"11262","Narbonne","acv-147","Narbonne",2018-09-26
"12145","Millau","acv-135","Millau",2018-10-05
"12202","Rodez","acv-169","Rodez",2018-10-13
"12300","Villefranche-de-Rouergue","acv-217","Villefranche-de-Rouergue",2018-10-13
"13004","Arles","acv-012","Arles",2018-07-06
"13108","Tarascon","acv-199","Tarascon",2018-10-01
"14366","Lisieux","acv-119","Lisieux",2018-09-25
"14762","Vire Normandie","acv-219","Vire Normandie",2018-09-19
"15012","Arpajon-sur-Cère","acv-017","Aurillac-Arpajon-sur-Cère",2018-09-20
"15014","Aurillac","acv-017","Aurillac-Arpajon-sur-Cère",2018-09-20
"16015","Angoulême","acv-009","Angoulême",2018-06-14
"16102","Cognac","acv-063","Cognac",2018-06-14
"17299","Rochefort","acv-168","Rochefort",2018-07-04
"17415","Saintes","acv-187","Saintes",2018-09-25
"18033","Bourges","acv-036","Bourges",2018-10-01
"18279","Vierzon","acv-216","Vierzon",2018-07-05
"19031","Brive-la-Gaillarde","acv-041","Brive-la-Gaillarde",2018-09-28
"19272","Tulle","acv-206","Tulle",2018-09-28
"22113","Lannion","acv-106","Lannion",2018-09-28
"22278","Saint-Brieuc","acv-175","Saint-Brieuc",2018-09-18
"23096","Guéret","acv-100","Guéret",2018-09-28
"24037","Bergerac","acv-029","Bergerac",2018-09-28
"24322","Périgueux","acv-155","Périgueux",2018-09-28
"25056","Besançon","acv-030","Besançon",2018-10-18
"25388","Montbéliard","acv-139","Montbéliard",2018-09-29
"26057","Bourg-de-Péage","acv-170","Romans-sur-Isère - Bourg de Péage",2018-09-18
"26198","Montélimar","acv-142","Montélimar",2018-09-25
"26281","Romans-sur-Isère","acv-170","Romans-sur-Isère - Bourg de Péage",2018-09-18
"26362","Valence","acv-207","Valence",2018-09-21
"27229","Évreux","acv-084","Évreux",2018-07-06
"27375","Louviers","acv-124","Louviers",2018-10-01
"27681","Vernon","acv-212","Vernon",2018-07-02
"28085","Chartres","acv-054","Chartres",2018-07-13
"28088","Châteaudun","acv-224","Châteaudun",
"28134","Dreux","acv-078","Dreux",2018-07-09
"28280","Nogent-le-Rotrou","acv-151","Nogent-le-Rotrou",2018-07-13
"29151","Morlaix","acv-145","Morlaix",2018-09-21
"29232","Quimper","acv-162","Quimper",2018-09-28
"2A004","Ajaccio","acv-004","Ajaccio",2018-07-12
"2B033","Bastia","acv-024","Bastia",2018-09-28
"30007","Alès","acv-007","Alès",2018-10-10
"30028","Bagnols-sur-Cèze","acv-021","Bagnols-sur-Cèze",2018-10-03
"31451","Revel","acv-165","Revel",2018-09-14
"31483","Saint-Gaudens","acv-227","Saint-Gaudens",
"32013","Auch","acv-016","Auch",2018-10-12
"33243","Libourne","acv-116","Libourne",2018-09-28
"34003","Agde","acv-002","Agde",2018-10-29
"34032","Béziers","acv-032","Béziers",2018-10-29
"34145","Lunel","acv-125","Lunel",2018-10-22
"34301","Sète","acv-196","Sète",2018-10-13
"35115","Fougères","acv-094","Fougères",2018-10-04
"35236","Redon","acv-164","Redon",2018-09-24
"35288","Saint-Malo","acv-181","Saint-Malo",2018-09-21
