﻿code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl
01001;L'Abergement-Clémenciat;01;636;323;1851;1009;9
01002;L'Abergement-de-Varey;01;369;335;1501;890;9
01004;Ambérieu-en-Bugey;01;486;325;1231;798;9
01005;Ambérieux-en-Dombes;01;658;329;1770;981;9
01006;Ambléon;01;430;344;1689;954;9
01007;Ambronay;01;435;326;1520;896;9
01008;Ambutrix;01;450;323;1261;808;9
01009;Andert-et-Condon;01;433;332;1657;943;46
01010;Anglefort;01;476;326;1483;884;9
01011;Apremont;01;392;451;1919;1032;9
01012;Aranc;01;422;420;1595;922;9
01013;Arandas;01;411;332;1001;720;9
01014;Arbent;01;424;372;1950;1042;9
01015;Arboys en Bugey;01;459;325;1493;887;46
01016;Arbigny;01;593;316;1633;935;9
01017;Argis;01;388;331;1277;814;9
01019;Armix;01;431;406;1557;909;9
01021;Ars-sur-Formans;01;670;322;1964;1047;9
01022;Artemare;01;481;323;1725;966;9
01023;Asnières-sur-Saône;01;608;313;1862;1012;9
01024;Attignat;01;534;319;1595;922;9
01025;Bâgé-Dommartin;01;615;317;1677;950;9
01026;Bâgé-le-Châtel;01;612;317;1715;963;9
01027;Balan;01;456;315;1592;921;9
01028;Baneins;01;645;321;1840;1005;9
01029;Beaupont;01;502;317;1491;886;9
01030;Beauregard;01;675;313;2269;1151;9
01031;Bellignat;01;379;365;1987;1055;9
01032;Béligneux;01;463;316;1601;924;9
01033;Valserhône;01;514;336;1491;886;9
01034;Belley;01;454;326;1367;844;46
01035;Belleydoux;01;418;441;3117;1439;9
01036;Valromey-sur-Séran;01;455;367;1661;944;9
01037;Bénonces;01;416;362;1471;880;9
01038;Bény;01;504;322;1866;1014;9
01039;Béon;01;485;324;1688;954;9
01040;Béréziat;01;576;317;1646;939;9
01041;Bettant;01;426;322;1190;784;9
01042;Bey;01;612;317;1880;1019;9
01043;Beynost;01;469;315;1590;920;9
01044;Billiat;01;472;370;1600;923;9
01045;Birieux;01;591;327;1428;865;9
01046;Biziat;01;615;318;1917;1031;9
01047;Blyes;01;431;319;1694;955;9
01049;La Boisse;01;481;315;1369;845;9
01050;Boissey;01;588;316;1660;944;9
01051;Bolozon;01;403;332;1816;997;9
01052;Bouligneux;01;649;327;1483;884;9
01053;Bourg-en-Bresse;01;459;319;1475;881;9
01054;Bourg-Saint-Christophe;01;467;322;1562;911;9
01056;Boyeux-Saint-Jérôme;01;380;367;1674;949;9
01057;Boz;01;598;314;1659;943;9
01058;Brégnier-Cordon;01;488;319;1990;1056;9
