localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
La Réunion>>>>;;;;;;;;;;9741186W;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
Bretagne>Rennes>Morbihan>Lorient>Lorient;Université de Bretagne-Sud;Université;UNITE DE FORMATION ET DE RECHERCHE DE SCIENCES ET SCIENCES DE L'INGENIEUR A LORIENT, UNIVERSITE DE BRETAGNE SUD;47.7477336966,-3.39402534846;Unité de formation et de recherche (hors santé);;1995-01-09;1349;Universités et INP hors écoles d'ingenieurs;0561738K;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;100;;2  RUE LE COAT SAINT HAOUEN;;BP92116;56321;LORIENT CEDEX;;UNIV;539
Bretagne>Rennes>Morbihan>Lorient>Lorient;Université de Bretagne-Sud;Université;ANTENNE DE L'UNIVERSITÉ DE BRETAGNE SUD, À LORIENT;47.7461263739,-3.39067496334;Composante d'université avec formation diplômante;;2009-01-09;;Universités et INP hors écoles d'ingenieurs;0561754C;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;100;;27  RUE ARMAND GUILLEMOT;;BP92116;56321;LORIENT CEDEX;;UNIV;540
Bretagne>Rennes>Morbihan>Vannes>Vannes;Université de Bretagne-Sud;Université;SERVICE DES ACTIVITES PHYSIQUES ET SPORTIVES DE L'UNIVERSITE DE BRETAGNE SUD A VANNES;47.6551055553,-2.7616071339;Service commun d'activités physique et sportive;Activités physique et sportive;1999-01-09;;Services communs des universités;0561800C;0561718N;UNIVERSITE BRETAGNE SUD;0561718N;UBS;FR0108;Q1125958;https://www.wikidata.org/entity/Q1125958;grid.267180.a;https://www.grid.ac/institutes/grid.267180.a;56260;Vannes;UU56501;Vannes;D056;Morbihan;A14;Rennes;R53;Bretagne;100;CAMPUS DE TOHANNIC;;;BP573;56017;VANNES CEDEX;;SERV;529
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Roubaix;École nationale supérieure des arts et industries textiles;Instituts et écoles extérieurs aux universités;ECOLE NATIONALE SUPERIEURE DES ARTS ET INDUSTRIES TEXTILES DE ROUBAIX;50.6948152902,3.16823225912;Ecole d'ingénieurs;;1881-01-09;338;Ecoles d'ingénieurs;0590338X;0590338X;ENS ARTS INDUST TEXT ROUBAIX;0590338X;ENSAIT;FR0114;Q273582;https://www.wikidata.org/entity/Q273582;grid.434225.6;https://www.grid.ac/institutes/grid.434225.6;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;9 RUE DE L ERMITAGE;;BP30329;59056;ROUBAIX CEDEX 1;;ING;553
Nord-Pas-de-Calais - Picardie>Lille>Nord>Valenciennes>Aulnoy-lez-Valenciennes;Université de Valenciennes et du Hainaut-Cambrésis;Université;SERVICE COMMUN UNIVERSITAIRE D'INFORMATION     D'ORIENTATION ET D INSERTION PROFESSIONNELLE;50.3283198863,3.51377191347;Service commun d'information et d'orientation;Information et orientation;1972-01-01;;Services communs des universités;0596035P;0593279U;UNIVERSITE VALENCIENNES;0593279U;;FR0122;Q1548539;https://www.wikidata.org/entity/Q1548539;grid.12810.3a;https://www.grid.ac/institutes/grid.12810.3a;59032;Aulnoy-lez-Valenciennes;UU59701;Valenciennes;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;;LE MONT HOUY;BP311;59304;VALENCIENNES CEDEX;;SERV;525
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE LILLE A, UNIVERSITE LILLE 1;50.6095221001,3.13711007597;Institut universitaire de technologie;;1971-05-05;2122;Universités et INP hors écoles d'ingenieurs;0592602H;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;CITÉ SCIENTIFIQUE;;BP179;59653;VILLENEUVE D ASCQ CEDEX;;UNIV;542
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;UFR INFORMATIQUE ELECTRONIQUE ELECTROTECHNIQUE     AUTOMATISMES;50.6114867482,3.13942714263;Unité de formation et de recherche (hors santé);;1971-05-05;1795;Universités et INP hors écoles d'ingenieurs;0592968F;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;CITÉ SCIENTIFIQUE;;;59655;VILLENEUVE D ASCQ CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 1 - Sciences technologies;Université;UNITÉ DE FORMATION ET DE RECHERCHE EN PHYSIQUE DE L'UNIVERSITÉ LILLE1;50.6111642822,3.1404699641000002;Unité de formation et de recherche (hors santé);;1971-05-05;1214;Universités et INP hors écoles d'ingenieurs;0593095U;0593559Y;UNIVERSITE LILLE 1;0593559Y;;FR0123;Q500740;https://www.wikidata.org/entity/Q500740;grid.4461.7;https://www.grid.ac/institutes/grid.4461.7;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;Cité SCIENTIFIQUE;;;59655;VILLENEUVE D ASCQ CEDEX;;UNIV;539
Nord-Pas-de-Calais - Picardie>Lille>Nord>Lille>Villeneuve-d'Ascq;Université Lille 3 - Charles-de-Gaulle;Université;SERVICE COMMUN UNIVERSITAIRE DES ACTIVITES PHYSIQUES ET SPORTIVES;50.6268902211,3.12630508426;Service commun d'activités physique et sportive;Activités physique et sportive;1972-01-01;;Services communs des universités;0596034N;0593561A;UNIVERSITE LILLE 3;0593561A;;FR0125;Q1141586;https://www.wikidata.org/entity/Q1141586;grid.448803.3;https://www.grid.ac/institutes/grid.448803.3;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;100;;RUE DU BARREAU;DOMAINE PONT DE BOIS;BP60149;59653;VILLENEUVE D ASCQ CEDEX;;SERV;529
