code_id;nom_du_jardin;adresse;code_postal;ville;region;departement;coordonnees_x;coordonnees_y;descriptif;site_web;facebook;twitter;instagram;dailymotion;tag_annee_de_labellisation;tag_jardin_remarquable;tag_maison_des_illustres;tag_monument_historique;tag_protection_site;tag_tourisme_et_handicap;tag_musee_de_france;tag_architecture_contemporaine_remarquable;tag_vpah;tag_patrimoine_mondial_de_lunesco;tag_jardin_prive;tag_jardin_contemporain;tag_parc_paysager;tag_jardin_regulier;tag_jardin_de_collection;tag_jardin_public;tag_jardin_vivrier;tag_jardin_inspiration_medievale;coordonnees_geographiques
MHR_76_JR0001;Jardin de l'abbaye de Fontfroide;Abbaye de Fontfroide - D 613;11100;Narbonne;Occitanie;Aude;43.12736881;2.898539901;"L'abbaye de Fontfroide est un haut lieu de culture et d'histoire, mêlant pureté et rigueur de l'architecture cistercienne et majesté des paysages. Implantés sur la colline, les jardins en terrasses de Fontfroide ont été remaniés au début du XXe siècle par la famille Fayet, ancêtres des propriétaires actuels et font partie de la visite du monument depuis 2015. Le parcours ""historique"" retrace l'histoire des jardins depuis le Moyen-âge au travers de différents jardins thématiques aboutissant à la magnifique roseraie, une des plus grandes du Sud de la France, avec près de 2500 rosiers. Implantée en 1988 derrière l'église sur l'ancien cimetière des moines, elle accueille diverses variétés de rosiers, anciennes ou créations plus récentes. L’autre parcours, appelé ""la promenade du bosquet"", fait la part belle aux espèces méditerranéennes et permet au visiteur d'accéder au point culminant des terrasses le long du mur d'enceinte, offrant une vue d'ensemble sur l'abbaye et le massif qui l'entoure. Des statues du XVIIIe siècle ramenées à Fontfroide par Gustave Fayet jalonnent les allées, alors que des bancs invitent au repos et à la méditation.";http://www.fontfroide.com;https://www.facebook.com/ABBAYEdeFONTFROIDE;https://twitter.com/fontfroide1093;https://www.instagram.com/abbaye_de_fontfroide/;;labellisee-en-2012;jardin-remarquable;;monument-historique;protection-site;;;;;;jardin-prive;;;jardin-regulier;;;;jardin-inspiration-medievale;43.12736881,2.898539901
MHR_76_JR0010;Parc de Flaugergues;1744 avenue Albert Einstein;34000;Montpellier;Occitanie;Hérault;43.60981837;3.919485211;"Construite à la fin du XVIIe siècle, Flaugergues est l'une de ces demeures appelées ""folies"" édifiées dans la campagne montpelliéraine. Les jardins ont étés aménagés au cours de l'histoire sur 4 hectares. La présence de la vigne date de l'époque romaine comme en témoigne la villa romaine au fond du parc (visible sur des photos aériennes).
 Les terrasses et le jardin à la française ont été aménagés par Etienne de Flaugergues en 1700. L'orangerie et le parc à l'anglaise en 1850 par Charles Joseph de Boussairolles. Une étude des jardins a été faite en 1997 par les étudiants de l'école d'architecture de Versailles, afin de redonner un avenir cohérent, ce qui a amené les propriétaires à faire de nombreux réaménagements en particulier, la bambousaie, l'allée des oliviers, l'orangerie et ses alentours, ainsi que la création d'un jardin des sens.";http://www.flaugergues.com;https://www.facebook.com/chateaudeflaugergues/;https://twitter.com/ChatFlaugergues;https://www.instagram.com/chateau_de_flaugergues/;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;;parc-paysager;jardin-regulier;;;;;43.60981837,3.919485211
MHR_76_JR0012;Jardin des carrières de Saint-Adrien;RN 113;34290;Servian;Occitanie;Hérault;43.39785893;3.325733989;Le jardin de Saint Adrien fait partie des sites les plus spectaculaires de notre région : d’anciennes carrières datant du Moyen-âge ont été transformées peu à peu en bassins avec écrin de verdure, paradoxale oasis posée sur les roches volcaniques. Quatre plans d'eau apportent la fraîcheur dans ce paysage minéral tandis que les plantations et les fleurs en font une halte estivale sous le signe de la magie et de la sérénité.;http://www.stadrien.paysdepezenas.com;https://www.facebook.com/LeJardinDeSaintAdrien;;;;labellisee-en-2004;jardin-remarquable;;;;;;;;;jardin-prive;;parc-paysager;;;;;;43.39785893,3.325733989
MHR_76_JR0013;Parc et jardin du château de Margon;rue des Banastes;34320;Margon;Occitanie;Hérault;43.4864371;3.307161033;Ce sont des jardins réguliers de composition classique à la française avec le côté structuré du jardin à l’italienne. On y trouve des cyprès en colonne, des topiaires en lauriers sauce, des allées bordées de lauriers roses, des grenadiers à fruit ou à fleur, des oliviers taillés en tambour et une collection d’iris.;http://chateaudemargon.com;https://www.facebook.com/chateaudemargon;;https://www.instagram.com/chateau_de_margon/;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;jardin-prive;;;jardin-regulier;;;;;43.4864371,3.307161033
MHR_76_JR0016;Parc aux bambous;Broques;09500;Lapenne;Occitanie;Ariège;43.145869;1.730409;Dans un cadre de verdure, au bord d'une rivière, sur plus de 4 hestares, le Parc aux Bambous vous invite à découvrir au milieu d'arbres centenaires une collection de plus de 100 espèces : des nains au géants qui peuvent pousser de plus de 50 cm par jour. Des sentiers aménagés vous feront parcourir : le jardin de fleurs, le labyrinthe de bambous, des plans d'eau, des bancs à l'ombre… Le parc est à la fois un jardin de collection sur le bambou (une centaine de taxons) et les graminées (une cinquantaine de taxons).;http://www.parcauxbambous.com;https://www.facebook.com/Le-Parc-Aux-Bambous-1550833061817223/;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;;;;jardin-de-collection;;;;43.145869,1.730409
MHR_76_JR0017;Jardin de l'abbaye de Combelongue;Abbaye de Combelongue;09420;Rimont;Occitanie;Ariège;42.988;1.27639;Le jardin s'ordonne sur un principe de perspectives et sur le thème d'une évocation des jardins à travers les âges : jardin médiéval tracé sur le plan du paradis terrestre, chambre de verdure Renaissance et sa sphère armillaire, grande nef de verdure, théâtre de verdure à l'italienne, verger et évocation contemporaine du jardin à la française : terrasse de buis, grande perspective et parterres ponctués de topiaires. Les différentes perspectives du jardin ouvrent sur le domaine agricole de l'abbaye, constitué de pâturages paysagers à l'anglaise traversés de cours d'eau.;http://www.abbayedecombelongue.fr;;;;;labellisee-en-2013;jardin-remarquable;;;;;;;;;jardin-prive;;parc-paysager;jardin-regulier;;;;;42.988,1.27639
MHR_76_JR0019;Palmeraie du Sarthou;Au Sarthou;32110;Betous;Occitanie;Gers;43.7140254;0.0324110;Issu de notre passion pour les palmiers, prolongement naturel de notre jardin, vous y découvrirez les nombreuses variétés de plantes tropicales qui prospèrent dans notre petite oasis. Parmi celles-ci, une dizaine d'espèces de palmiers, plus encore de bambous, des figuiers de barbarie, des cannes à sucre, des papyrus... Quand on pénètre sous le couvert dense de la palmeraie, cela ressemble à une petite forêt tropicale, sombre et humide. Les troncs chevelus du palmier de Chine, plantés serrés, constitue un véritable dédale où l'on perd tout sens de l'orientation. Le cheminement conduit ensuite à la bananeraie puis à la pépinière des plantes tropicales. Les feuillages des végétaux, tant par leur forme que par leur taille, créent une ambiance exotique et suscitent un sentiment réel de dépaysement.;http://www.palmeraiesarthou.com;https://www.facebook.com/palmeraiesarthou/;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;jardin-prive;;;;jardin-de-collection;;;;43.7140254,0.032411
MHR_76_JR0021;Jardin japonais de Compans-Cafarelli;rue Ozenne;31000;Toulouse;Occitanie;Haute-Garonne;43.61207700;1.432321000;Ce parc clos de 7 000 m² fait partie d'un espace vert de 10 hectares en plein cœur du quartier récent de Compans-Caffarelli. Assez rare dans une ville méridionale telle que Toulouse, ce jardin propose des variétés botaniques de l'extrême-orient. Conçu par le bureau d'étude du service des jardins et des espaces verts comme un lieu de méditation, on y trouve un jardin minéral, un pont en bois rouge typiquement japonais reliant un îlot qui représente allégoriquement le paradis. Il s'inspire des jardins créés à Kyoto entre le XIVe siècle et XVIe siècle, correspondant aux époques de Muromachi et d'Edo. Il est isolé du reste du parc grâce à des rideaux de verdure et une colline offrant une certaine intimité. Le jardin est composé d'un jardin sec avec une île Grue, une île Tortue et neuf rochers, d'un lac, d'un pavillon de thé, et d'un jardin planté composé d'une cascade sèche, des pas japonais, une lanternes, un pont rouge, une île du Paradis, un mont Fuji et les pierres des trois saints.;https://www.parcsetjardins.fr/jardins/794-jardin-japonais-de-compans-caffarelli;;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;;;jardin-contemporain;;;;jardin-public;;;43.612077,1.432321
MHR_76_JR0023;Jardin Massey;rue Massey;65000;Tarbes;Occitanie;Hautes-Pyrénées;43.2373245;0.076560974;Parc public d'agrément de 11 hectares clôturé d'une grille monumentale sur 1,2 km de longueur. Romantique et paysager, ancienne propriété de Placide Massey, célèbre botaniste du XIXe siècle, aujourd'hui musée. Arboretum de plus de 5 000 arbres et arbustes du monde entier, collection de plantes succulentes, pièce d'eau, orangerie, serre, cloître médiéval, statuaire, musée. Paons, compositions florales.;http://www.tarbes.fr;;;;;labellisee-en-2004;jardin-remarquable;;monument-historique;;;;;;;;;parc-paysager;jardin-regulier;jardin-de-collection;jardin-public;;;43.2373245,0.076560974
MHR_76_JR0025;Jardins secrets;Boulevard Gambetta;46000;Cahors;Occitanie;Lot-et-Garonne;44.45660144;1.439042687;Occupant places, placettes ou encoignures de ruelles, vingt-cinq jardins à deviner, chacun mis en scène sur un thème spécifique relié au passé médiéval de Cahors et mettant en valeur son patrimoine monumental.;http://www.tourisme-cahors.fr/decouvrir/pierre-et-histoire/visiter-cahors/jardins-secrets;https://www.facebook.com/cahorstourisme;;;;labellisee-en-2006;jardin-remarquable;;;;;;;;patrimoine-mondial-de-lunesco;;jardin-contemporain;;;;jardin-public;;jardin-inspiration-medievale;44.45660144,1.439042687
