rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;ecart_type_de_l_ips_voie_gt;ecart_type_de_l_ips_voie_pro
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350024L;LYCEE GENERAL EMILE ZOLA;35238;RENNES;public;LEGT;133.8;;133.8;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350028R;LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY;35238;RENNES;public;LEGT;115.5;;115.5;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350030T;LYCEE POLYVALENT PIERRE MENDES FRANCE LYCEE DES METIERS DU BATIMENT ET DE L ENERGETIQUE;35238;RENNES;public;LPO;122.6;90.2;104.4;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350050P;LYCEE PROFESSIONNEL BEL AIR LYCEE DES METIERS DE LA LOGISTIQUE DU TRANSPORT ET DE LA MAINTENANCE DES VEHICULES;35337;TINTENIAC;public;LP;;82.7;82.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0350774B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT SAUVEUR;35236;REDON;privé sous contrat;LEGT;117.4;;117.4;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351054F;LYCEE PROFESSIONNEL CHARLES TILLON;35238;RENNES;public;LP;;88.2;88.2;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351907H;LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES;35238;RENNES;public;LEGT;115.1;;115.1;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0351930H;LYCEE POLYVALENT PRIVE LA PROVIDENCE;35184;MONTAUBAN DE BRETAGNE;privé sous contrat;LPO;111.0;97.6;109.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352235P;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;35188;MONTFORT SUR MEU;public;LEGT;117.7;;117.7;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352446U;LYCEE PROFESSIONNEL PRIVE SAINTE THERESE LYCEE DES METIERS DE LA RESTAURATION ET DE L HOTELLERIE;35125;LA GUERCHE DE BRETAGNE;privé sous contrat;LP;;109.0;109.0;;
2016-2017;RENNES;35;ILLE-ET-VILAINE;0352471W;LYCEE GENERAL PRIVE SAINT MAGLOIRE;35095;DOL DE BRETAGNE;privé sous contrat;LEGT;103.9;;103.9;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360002G;LYCEE GENERAL ROLLINAT;36006;ARGENTON SUR CREUSE;public;LEGT;107.8;;107.8;;
2016-2017;ORLEANS-TOURS;36;INDRE;0360009P;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;36044;CHATEAUROUX;public;LEGT;102.2;;102.2;;
