"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"01001","2022","COM","2020","806","15","821","2023-01-02"
"01002","2022","COM","2020","262","6","268","2023-01-02"
"01004","2022","COM","2020","14288","374","14662","2023-01-02"
"01005","2022","COM","2020","1782","24","1806","2023-01-02"
"01006","2022","COM","2020","113","0","113","2023-01-02"
"01007","2022","COM","2020","2827","119","2946","2023-01-02"
"01008","2022","COM","2020","768","13","781","2023-01-02"
"01009","2022","COM","2020","324","8","332","2023-01-02"
"01010","2022","COM","2020","1101","15","1116","2023-01-02"
"01011","2022","COM","2020","368","11","379","2023-01-02"
"01012","2022","COM","2020","327","3","330","2023-01-02"
"01013","2022","COM","2020","143","4","147","2023-01-02"
"01014","2022","COM","2020","3336","91","3427","2023-01-02"
"01015","2022","COM","2020","663","15","678","2023-01-02"
"01016","2022","COM","2020","458","9","467","2023-01-02"
"01017","2022","COM","2020","445","11","456","2023-01-02"
"01019","2022","COM","2020","26","4","30","2023-01-02"
"01021","2022","COM","2020","1490","30","1520","2023-01-02"
"01022","2022","COM","2020","1213","16","1229","2023-01-02"
"01023","2022","COM","2020","76","0","76","2023-01-02"
"01024","2022","COM","2020","3299","66","3365","2023-01-02"
"01025","2022","COM","2020","4068","104","4172","2023-01-02"
"01026","2022","COM","2020","977","68","1045","2023-01-02"
"01027","2022","COM","2020","2647","52","2699","2023-01-02"
"01028","2022","COM","2020","625","17","642","2023-01-02"
"01029","2022","COM","2020","683","8","691","2023-01-02"
"01030","2022","COM","2020","821","15","836","2023-01-02"
"01031","2022","COM","2020","3671","234","3905","2023-01-02"
"01032","2022","COM","2020","3414","29","3443","2023-01-02"
"01033","2022","COM","2020","16434","336","16770","2023-01-02"
"01034","2022","COM","2020","9207","343","9550","2023-01-02"
"01035","2022","COM","2020","308","8","316","2023-01-02"
"01036","2022","COM","2020","1334","24","1358","2023-01-02"
"01037","2022","COM","2020","309","3","312","2023-01-02"
"01038","2022","COM","2020","759","19","778","2023-01-02"
"01039","2022","COM","2020","439","7","446","2023-01-02"
"01040","2022","COM","2020","480","10","490","2023-01-02"
"01041","2022","COM","2020","748","20","768","2023-01-02"
"01042","2022","COM","2020","291","7","298","2023-01-02"
"01043","2022","COM","2020","4829","114","4943","2023-01-02"
"01044","2022","COM","2020","628","17","645","2023-01-02"
"01045","2022","COM","2020","285","3","288","2023-01-02"
"01046","2022","COM","2020","912","8","920","2023-01-02"
"01047","2022","COM","2020","1269","34","1303","2023-01-02"
"01049","2022","COM","2020","3335","77","3412","2023-01-02"
"01050","2022","COM","2020","380","4","384","2023-01-02"
"01051","2022","COM","2020","91","1","92","2023-01-02"
"01052","2022","COM","2020","332","6","338","2023-01-02"
"01053","2022","COM","2020","41681","1682","43363","2023-01-02"
"01054","2022","COM","2020","1482","35","1517","2023-01-02"
"01056","2022","COM","2020","351","4","355","2023-01-02"
"01057","2022","COM","2020","514","16","530","2023-01-02"
"01058","2022","COM","2020","819","19","838","2023-01-02"
"01060","2022","COM","2020","486","19","505","2023-01-02"
"01061","2022","COM","2020","1133","33","1166","2023-01-02"
"01062","2022","COM","2020","951","23","974","2023-01-02"
"01063","2022","COM","2020","561","16","577","2023-01-02"
"01064","2022","COM","2020","1095","19","1114","2023-01-02"
"01065","2022","COM","2020","1825","64","1889","2023-01-02"
"01066","2022","COM","2020","92","1","93","2023-01-02"
"01067","2022","COM","2020","259","12","271","2023-01-02"
"01068","2022","COM","2020","771","17","788","2023-01-02"
"01069","2022","COM","2020","1514","39","1553","2023-01-02"
"01071","2022","COM","2020","5045","123","5168","2023-01-02"
"01072","2022","COM","2020","3202","63","3265","2023-01-02"
"01073","2022","COM","2020","995","25","1020","2023-01-02"
"01074","2022","COM","2020","2574","38","2612","2023-01-02"
"01075","2022","COM","2020","1402","31","1433","2023-01-02"
"01076","2022","COM","2020","122","3","125","2023-01-02"
"01077","2022","COM","2020","192","2","194","2023-01-02"
"01078","2022","COM","2020","1597","34","1631","2023-01-02"
"01079","2022","COM","2020","822","30","852","2023-01-02"
