NOM,VERSION
population,1672674792.0
communes,1677081590.0
colleges,1680151848.0
lycees,1680162380.0
hopitaux,1620028007.0
monuments_historiques,1671014838.0
m2_maison,1673365528.0
m2_appartement,1673365528.0
jardins,1640363401.0
radon_nucleaire,1557157650.0
action_coeur_de_ville,1669381501.0
production_electricite_gaz,1603698065.0
festivals,1674035167.0
ecoles,1680162364.0
juridictions_competentes,1670513047.0
police_gendarmerie,1680231626.0
musees,1670514205.0
dose_rayonnements_telluriques,1632227502.0
