FID,osm_id,amenity,name,short_name,official_name,alt_name,old_name,operator,operator-type,emergency,capacity,wheelchair,ref-FR-FINESS,type-FR-FINESS,ref-FR-NAF,ref-FR-SIRET,contact-website,url,phone,contact-phone,fax,contact-fax,email,contact-email,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,wikidata,wikipedia,description,opening_hours,source,note,osm_type,osm_version,osm_timestamp,healthcare-speciality,the_geom,osm_original_geom
france_hospitals_point.577828818,577828818,hospital,Centre Hospitalier Jacques Monod,,,,,,public,yes,,,610000119,355,,,,,+33 2 33 62 62 00,,+33 2 33 62 62 05,,,,,,,,,,,,,,,way,3,2021-11-14T22:56:05Z,intensive,POINT (-60154.03684362484 6232368.43720041),"SRID=3857;POLYGON((-60419.0766421142 6232307.73944185,-60410.9614512354 6232256.60145322,-60383.3653494678 6232206.83126706,-60352.251551791 6232176.52697175,-60293.2744855688 6232137.02181339,-60248.9025365386 6232096.43636364,-60196.9608621344 6232134.86085277,-60155.2939767305 6232167.32596758,-60062.2197504782 6232264.1818091,-59997.5653902255 6232198.57565722,-59970.3700386247 6232208.41823592,-59959.8169508975 6232212.26748078,-59940.4139636522 6232217.51798865,-59945.145042011 6232237.6083864,-59852.816656347 6232278.51528449,-59854.9873864175 6232298.80842063,-59981.6021752458 6232523.91016557,-60055.4626573871 6232674.07135962,-60111.1891944782 6232634.56388427,-60326.5478813669 6232486.85145363,-60364.9753695887 6232453.57472542,-60395.8108685385 6232410.01634388,-60413.3993480838 6232364.55041133,-60419.0766421142 6232307.73944185))"
france_hospitals_point.702147381,702147381,hospital,Centre hospitalier de Coulommiers,GHEF,,Hôpital Abel Leblanc,,Grand Hôpital de l’Est Francilien,public,no,,,770001279,,,,,,+33 1 64 77 64 77,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,2,2019-10-24T17:35:54Z,,POINT (343167.8890162378 6243448.1484820545),"SRID=3857;POLYGON((343035.686298086 6243428.61744048,343053.274777631 6243419.31969354,343058.840752171 6243416.78394615,343084.221596072 6243404.44331966,343084.110276581 6243404.10522056,343097.023337513 6243399.54088399,343134.482346165 6243386.99742356,343162.913344113 6243382.73738462,343186.858166583 6243379.7621206,343195.207128393 6243378.91687533,343206.450396963 6243377.73353209,343206.339077472 6243377.39543405,343216.357831643 6243376.55018902,343220.921930766 6243376.21209103,343223.593598545 6243376.04304204,343238.733049293 6243375.02874817,343240.959439109 6243380.2692678,343241.627356053 6243382.29785691,343243.185828924 6243387.36933182,343245.523538231 6243395.31464862,343247.082011102 6243401.73852722,343252.31402717 6243421.348292,343258.213960182 6243444.67720921,343261.998822869 6243465.63947944,343266.006324537 6243488.46136486,343266.562921991 6243488.46136486,343269.23458977 6243503.50693775,343267.564797408 6243506.04271109,343257.434723746 6243507.39512385,343230.718045956 6243510.60710502,343223.370959563 6243511.62141511,343198.546713116 6243514.66434613,343184.854415749 6243516.35486383,343160.809405737 6243519.2287447,343146.226552444 6243521.08831519,343142.553009247 6243521.42641896,343139.547382996 6243522.10262654,343135.428561837 6243520.75021144,343133.202172021 6243518.72158918,343129.70674001 6243515.611036,343115.391053494 6243502.15452561,343101.587436635 6243489.47567231,343079.657496949 6243469.52764817,343060.955822496 6243452.1154282,343045.482413276 6243437.74614739,343035.686298086 6243428.61744048))"
france_hospitals_point.112954488,112954488,hospital,Centre hospitalier d'Orange,,,Centre hospitalier Louis Giorgi,,,public,yes,,,840000483,355,,26840026400068,,,+33 4 90 11 22 22,,+33 4 90 34 18 74,,,,,,,,,,,,,INSEE - 07/2017,,way,22,2020-06-05T14:58:32Z,,POINT (536876.7691168129 5488314.560366585),"SRID=3857;POLYGON((536701.009682312 5488164.12173725,536759.91995684 5488165.65758627,536773.077920651 5488166.0609406,536811.872763193 5488163.718383,536979.341805142 5488139.09829405,536983.104403931 5488161.94982998,536991.965435398 5488243.48978752,537001.538911607 5488317.66137264,537001.995321519 5488322.85852569,537002.908141343 5488327.37306998,537004.945288025 5488337.25543071,537008.351664443 5488353.82431063,537012.61520094 5488367.16631438,537016.745154049 5488378.91039655,537018.337022767 5488391.02683001,537019.194182846 5488403.31393384,537018.771168781 5488424.24238475,537023.201684515 5488426.29024167,537023.268476209 5488428.27604276,537030.448583366 5488469.85385192,537035.925502312 5488511.27670775,537022.155281301 5488508.25143665,536979.096902263 5488495.65390828,536944.676915709 5488499.76516871,536922.891691361 5488497.36046899,536879.465958002 5488492.28733036,536880.445569522 5488480.03113547,536840.949414188 5488447.00154762,536818.151182474 5488425.73173519,536810.826359979 5488423.62182213,536812.318041156 5488431.82876609,536776.640144357 5488441.09067575,536773.667913953 5488433.92316695,536758.695442441 5488397.44963223,536746.116339981 5488391.46122229,536738.702461894 5488364.94781706,536738.769253589 5488326.41120812,536735.719099541 5488268.37389176,536707.109990407 5488266.58980473,536701.009682312 5488164.12173725))"
france_hospitals_point.646792094,646792094,hospital,Centre Hospitalier Georges Heuyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEOPORTAIL,,way,3,2019-11-24T12:49:58Z,orthopaedics,POINT (551678.7090626144 6212905.412506223),"SRID=3857;POLYGON((551575.130423891 6212903.92254863,551626.482104994 6212844.71500555,551700.609753913 6212803.66580743,551725.278153073 6212814.14285106,551752.451240776 6212841.31247934,551778.143779251 6212864.67539717,551786.50387301 6212870.87407685,551794.262841518 6212878.94247375,551799.249954705 6212884.60214712,551803.602546795 6212892.24944988,551799.67296877 6212904.59632105,551753.864998309 6212934.44449298,551649.26920476 6213002.90029,551642.935125733 6213006.99350596,551636.166900693 6213009.41911635,551618.389178014 6213020.7554852,551593.943417835 6212971.70432199,551590.358930232 6212959.7616194,551575.130423891 6212903.92254863))"
france_hospitals_point.659740129,659740129,hospital,Centre Hospitalier de Bapaume,,,,,,,,,,620000059,,,,,,,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,5,2022-05-20T13:19:12Z,,POINT (318001.7045271735 6464110.088664933),"SRID=3857;POLYGON((317753.950139873 6464102.1737195,317765.338123781 6464085.70347552,317769.312229602 6464079.95885648,317783.138110359 6464056.72009064,317756.744259092 6464040.82266017,317771.560883316 6464018.17408084,317792.511211483 6463984.76536955,317828.34495557 6463928.98613728,317833.654895281 6463919.54500992,317895.92701843 6463937.61158837,317918.613930654 6463950.1419377,318014.760574852 6463994.3280571,318032.994707444 6464002.78002421,318038.226723511 6464005.2097494,318041.454988745 6464006.77171597,318058.041592873 6464014.40800122,318080.639449504 6464024.994681,318093.218551963 6464031.06901155,318113.367379797 6464040.61439709,318129.397386471 6464048.25071342,318162.860025404 6464063.61014364,318158.67441255 6464070.48284704,318175.928933623 6464077.23406877,318190.623106407 6464082.71835577,318195.999837813 6464079.12580027,318199.139047453 6464074.37043935,318241.919127765 6464094.15553553,318240.928384297 6464107.53653517,318239.815189389 6464122.60103265,318236.609188054 6464131.67792622,318228.905879291 6464153.5284621,318227.46985786 6464169.20048627,318224.764794234 6464198.86113114,318222.460480774 6464226.94251796,318216.961297929 6464294.0570696,318212.419462705 6464292.32149124,318207.053863249 6464303.67218033,318115.38226258 6464271.13010857,318069.997306184 6464253.20165091,318051.807701388 6464247.83874128,318025.202343089 6464237.42533439,318007.279905071 6464230.30951385,317999.710179697 6464227.35905346,317999.487540715 6464227.87972287,317979.561351863 6464220.59035418,317979.895310336 6464219.89612892,317972.214265471 6464216.94567223,317978.648532039 6464201.06529096,317969.063923882 6464196.63961633,317961.46080266 6464193.79330135,317955.738980834 6464197.85450717,317951.397520693 6464208.7885327,317924.903481884 6464198.54873059,317881.600199965 6464180.36009623,317861.674011113 6464173.55672415,317810.133086876 6464149.77967665,317792.91196165 6464139.29697073,317762.165518293 6464119.30350207,317767.686965037 6464110.1745558,317762.666456002 6464107.25884884,317753.950139873 6464102.1737195))"
france_hospitals_point.702648810,702648810,hospital,Centre Jean Chanton,,,,,,,,,,060001625,,,,,,,,,,,,,,,,,Q92062468,,,,Le ministère des solidarités et de la santé - 03/2019,,way,4,2022-08-18T20:49:41Z,,POINT (812957.2194000388 5467558.357736881),"SRID=3857;POLYGON((812850.836347171 5467461.13369689,812855.500633836 5467452.66688805,812894.061705446 5467465.99398923,812921.535355774 5467475.54431637,812935.862174239 5467486.28651146,812966.619749545 5467502.121211,813029.92714396 5467525.19998622,813066.940874649 5467549.59451594,813075.300968407 5467563.32420679,813072.618168679 5467581.52730096,813040.992301345 5467615.24026969,813025.741531106 5467623.55243941,812894.473587562 5467631.38477009,812884.822187711 5467612.06709702,812866.57692317 5467608.84748879,812882.718249335 5467558.85083288,812884.510493136 5467503.01897581,812856.736280184 5467473.7487922,812850.836347171 5467461.13369689))"
france_hospitals_point.76281073,76281073,hospital,Hôpital Flaubert,,,,,Groupe hospitalier du Havre,public,yes,,,760000356,355,,26760171400012,,,+33 2 32 73 32 32,,+33 2 32 73 38 18,,,,,55 bis,Rue Gustave Flaubert,Le Havre,76600,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,6,2020-10-11T14:19:57Z,,POINT (12578.473500083615 6360056.591768133),"SRID=3857;POLYGON((12334.522406418 6360148.9956391,12351.4318370695 6360088.07792666,12359.6583474391 6360058.57910335,12362.5303903016 6360048.22625793,12355.5840540761 6360046.25510504,12387.5327479338 6359926.40987935,12391.9521317183 6359909.78388918,12405.9895195073 6359857.04372402,12408.0823259342 6359849.48495599,12409.1843888931 6359845.21708317,12418.3571149344 6359810.81707913,12419.0250318792 6359808.3660628,12420.4610533104 6359802.82985373,12421.0621785607 6359799.79608127,12424.0678048121 6359800.58451921,12429.3666125739 6359780.41081535,12458.3319440783 6359788.89507741,12458.5545830599 6359788.26089995,12463.2300016732 6359789.51211499,12513.7467865952 6359803.1040931,12518.7005039355 6359804.4752901,12528.4298274308 6359807.11484495,12621.4261300395 6359832.13923741,12642.5768332902 6359837.84686614,12669.2823791315 6359845.0456827,12677.4420978067 6359847.23960897,12683.9765519163 6359849.0564546,12706.5076168528 6359855.14117632,12728.1703897612 6359857.986428,12711.0717159753 6359923.4103426,12704.6151855093 6359948.77788718,12702.4555873879 6359957.2966001,12700.6299477389 6359964.4440983,12699.3943013911 6359969.32908259,12697.7913007237 6359975.61957532,12695.2977441299 6359985.44098075,12692.4813610129 6359996.49650325,12688.9191373075 6360011.04867833,12687.4719839272 6360016.92783279,12693.1047501613 6360017.88769513,12705.405553894 6360019.87598176,12723.6285545368 6360022.84127218,12728.8939664513 6360023.57830985,12758.460423206 6360014.18536955,12761.1432229342 6360013.31120959,12774.9357078434 6360008.78614769,12788.6168732619 6360050.96873229,12789.7189362208 6360054.36254556,12796.3981056684 6360074.7425945,12813.8641337738 6360128.1183316,12820.9440533883 6360130.62086326,12830.027723837 6360164.16514389,12837.5640533637 6360169.34163655,12781.4367661058 6360311.04507864,12725.8883401999 6360297.22944479,12725.9662638435 6360287.01343241,12725.4319302877 6360286.82488196,12725.1202357134 6360282.60820943,12724.775145292 6360278.35725716,12724.1740200417 6360275.28903085,12723.5840267405 6360272.04939647,12722.804790305 6360269.13544068,12720.4448171001 6360266.92426315,12717.8622049137 6360264.88449524,12715.0124259494 6360263.03327774,12687.3940602836 6360253.7257737,12678.5330288165 6360280.87697458,12642.543437443 6360272.37507394,12600.8988159372 6360262.67331882,12591.5034509143 6360287.35625141,12558.6085413849 6360271.00380045,12486.0616292349 6360232.19685366,12334.522406418 6360148.9956391))"
france_hospitals_point.592136836,592136836,hospital,Centre hospitalier de Denain,,,,,,public,yes,,,590000592,355,,,,,+33 3 27 24 30 00,,+33 3 27 24 30 14,,,,,,,,,,,,,,,way,3,2022-02-06T18:48:25Z,,POINT (377801.6671672985 6503397.481085014),"SRID=3857;POLYGON((377578.012971748 6503410.99342392,377592.150547079 6503387.10370508,377618.332891313 6503402.81511096,377635.231190016 6503375.03680758,377609.449595948 6503358.99413869,377698.315945448 6503207.44476332,377711.10655494 6503203.66085971,377888.995101228 6503294.45758558,377924.817713365 6503307.6054943,377978.718610807 6503342.46324716,377985.108349579 6503340.71948415,377998.132730002 6503349.26392639,378009.76561679 6503356.93649428,378009.019776201 6503358.27919439,378011.079186781 6503364.53931856,378012.18124974 6503365.20195036,377994.570506296 6503406.63398104,377988.11397583 6503421.97923016,377983.438557217 6503432.61629453,377978.31786064 6503444.64840018,377964.959521745 6503475.862205,377964.013306073 6503477.9721927,377943.029582059 6503509.69182456,377933.790064323 6503523.64222336,377909.52241533 6503560.26213196,377892.824491711 6503585.5474014,377883.139696012 6503600.02107311,377879.020874853 6503600.89298185,377812.563138849 6503560.26213196,377810.893346487 6503559.21584661,377762.469367992 6503529.04800921,377748.331792662 6503520.32900152,377741.875262196 6503516.31826106,377740.205469834 6503515.27198127,377720.835878436 6503503.41415276,377680.226528194 6503478.3732648,377578.903527674 6503415.87600268,377578.012971748 6503410.99342392))"
france_hospitals_point.48092086,48092086,hospital,Hôpital René-Muret,,,,,Assistance publique - Hôpitaux de Paris,public,,,,930100011,101,,,,,+33 1 41 52 59 99,,+33 1 41 52 57 99,,,,,,,,,Q3145202,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,8,2021-08-31T12:32:45Z,,POINT (279268.9762186023 6263859.006176922),"SRID=3857;POLYGON((278925.845334568 6263718.89051657,278927.927009046 6263713.2137552,278963.337739067 6263691.93017036,278984.276935285 6263688.11743192,278989.186124829 6263687.21932044,278990.243659992 6263687.38877543,279002.043526016 6263685.66033472,279013.576225262 6263680.15305049,279048.719788505 6263676.47588117,279074.835341046 6263670.81609372,279089.874604252 6263671.23973038,279107.652326931 6263666.07136465,279129.927357039 6263662.86867403,279138.064811816 6263656.09049682,279295.537363492 6263625.38542211,279307.29270172 6263700.47071071,279364.555447784 6263740.3605709,279532.258260664 6263857.21827028,279558.930410658 6263878.79035098,279573.747034883 6263902.56545729,279580.815822548 6263922.56167827,279588.062721399 6263954.64046032,279577.88811994 6263993.36223724,279581.817697965 6264046.06480922,279310.832661527 6264041.92993319,279259.714751355 6264049.62351563,279218.515407812 6264063.53637742,279199.891657003 6264072.70430495,278925.845334568 6263718.89051657))"
france_hospitals_point.72366917,72366917,hospital,Polyclinique de Franche-Comté,,,,,,,,,,250020765,124,,,,,+33 3 81 41 81 41,,,,,,,4,Rue Auguste Rodin,Besançon,25000,Q50037297,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,way,10,2020-04-20T21:20:41Z,,POINT (665668.147410404 5977302.93852182),"SRID=3857;POLYGON((665597.369398033 5977311.01130352,665601.176524618 5977260.51772563,665601.532746989 5977259.35413155,665602.323115373 5977258.45275596,665603.425178332 5977258.05942845,665604.549505189 5977258.12498304,665605.807415435 5977258.92802671,665618.520101284 5977273.64504434,665624.152867518 5977268.81038658,665634.193885587 5977280.46273579,665644.669049671 5977271.28507547,665647.140342367 5977269.17093723,665618.731608316 5977236.29533443,665616.160128079 5977238.52418492,665610.115479729 5977231.50986323,665616.538614348 5977201.69905918,665623.919096587 5977203.28874764,665625.566625051 5977203.82956955,665627.447924445 5977205.00954475,665628.293952575 5977205.79619496,665634.494448212 5977212.90882727,665635.351608292 5977212.15495352,665636.765365825 5977210.94220024,665674.536069051 5977254.43753854,665676.372840649 5977256.55167319,665675.192854046 5977257.58415775,665699.015225076 5977285.42850961,665729.43884191 5977320.43483724,665728.158667766 5977321.61482826,665732.333148671 5977326.5150705,665733.713510356 5977325.3350788,665761.253952379 5977357.01463362,665761.999792967 5977357.76851993,665762.545258472 5977358.71907233,665762.68997381 5977359.7024025,665762.623182115 5977360.68573279,665762.044320763 5977361.73461856,665761.554515004 5977362.27545033,665760.764146619 5977362.70156023,665759.539632221 5977362.96378172,665749.721253133 5977362.12795075,665749.5097461 5977364.50433313,665766.819926918 5977366.02849597,665765.695600061 5977378.74625222,665748.307495599 5977377.22208715,665748.196176109 5977379.45097379,665739.312880743 5977379.94264004,665735.093872042 5977380.61458396,665725.832090408 5977383.28597126,665724.863610838 5977380.49986182,665708.354930354 5977386.21958158,665704.080261907 5977373.8623694,665720.677997985 5977368.10988006,665723.705888134 5977367.06099353,665721.279123235 5977361.04628726,665718.91915003 5977360.70212163,665718.084253849 5977360.55462208,665714.711273278 5977359.9646239,665711.516403892 5977359.29268158,665702.098774971 5977358.55518397,665701.063503707 5977358.26018495,665700.317663119 5977357.60463159,665699.683142021 5977356.76880114,665699.749933716 5977355.94935959,665699.81672541 5977355.01519632,665700.206343628 5977354.39242087,665700.595961845 5977353.90075606,665713.542418625 5977342.70719492,665708.421722048 5977336.79083827,665710.592452119 5977334.85696079,665707.709277307 5977331.53003698,665714.622217685 5977325.54813285,665700.952184216 5977309.71659273,665694.039243838 5977315.71487472,665690.410228438 5977311.48657715,665687.638373117 5977313.89572319,665683.898038226 5977309.5527053,665684.387843986 5977309.06104304,665678.944320886 5977302.73499103,665659.853028215 5977319.10734752,665658.472666529 5977320.30372713,665669.47103222 5977333.11974918,665686.258011431 5977352.78631595,665686.925928376 5977354.39242087,665686.380462871 5977356.04769257,665684.57708712 5977357.08018894,665633.79313542 5977353.34353599,665631.611273401 5977352.42576182,665630.4090229 5977350.19688211,665630.364495104 5977349.08244247,665632.290322295 5977324.45008514,665631.566745605 5977324.31897497,665630.77637722 5977324.99091459,665624.898708106 5977318.17318821,665625.70020844 5977317.58319291,665625.666812593 5977316.79653257,665600.887093942 5977314.92821455,665598.605044381 5977313.96127819,665597.625432862 5977312.55184572,665597.369398033 5977311.01130352))"
